Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9676064621520317,"[0.9817222913142228, 0.9821773998761335, 0.9614199383707165, 0.9714004070128285, 0.9822601052917813, 0.9850318968029125, 0.9847746726304775, 0.9651008562253622, 0.9842160483806005, 0.9737229159178367, 0.968330142170732, 0.9564521882930404, 0.9681378764371299, 0.9602138778675747, 0.958087318959722, 0.9705032338655807, 0.9615713693379422, 0.9754204437035972, 0.9757392085777273, 0.9830179188924842, 0.9314604133319193, 0.950060625124484, 0.960479309220284, 0.962896280822704, 0.9728798021769323, 0.9387988283520623, 0.9810916564046749, 0.9634232074313088, 0.9577980901802102, 0.9836682444845483, 0.9868430436681757, 0.9643351811883508, 0.9807299366164317, 0.9745787473467843, 0.9713951332621521, 0.9728944113305675, 0.9773246908634098, 0.9700126967428528, 0.9635586828367635, 0.993923417349647, 0.9887893718444959, 0.9641965827942841, 0.9775186972303326, 0.8744872568156513, 0.9783082812228764, 0.9817324735406666, 0.9692694133521581, 0.9442629458345091, 0.9398137378749817, 0.9544918384289578]"
,PSNR,46.400513949774194,"[47.12614082369181, 47.78997370434185, 43.3231157287912, 46.93504318527773, 46.42610246221465, 47.776373036710574, 51.86715633795834, 45.6365834391579, 47.31370175627443, 48.27289783047724, 49.605707172076514, 45.194441816618934, 46.98915220064961, 43.96926411622212, 44.78155044377469, 44.923617492763526, 42.303965235091006, 45.53705861690899, 45.681374812713045, 48.37419890947065, 41.547647155732115, 46.185965327006826, 43.32055983945476, 45.40761560924488, 49.982139452511724, 44.14539591746297, 47.68941480927438, 44.548727765569026, 46.74675772645686, 48.776849240811984, 48.598632218151685, 46.01522689072719, 48.28731487866726, 45.78331437148652, 47.06493758324561, 43.95899978846976, 46.36624829278611, 46.403164103977545, 48.97987235557257, 53.804664129534466, 51.455260779351015, 44.5279266908108, 49.78405459957361, 38.41982438191933, 46.22655032907943, 48.383552385173715, 47.33082021322484, 44.29973600533601, 42.091967362386036, 44.06513816452527]"
,mSSIM,0.2577020591407184,"[0.2715391427275473, 0.234356279286983, 0.44029440529648295, 0.1452343196430543, 0.44101898049374505, 0.2798234599299339, 0.00815291704187202, 0.18283166138430249, 0.45522833944110025, 0.08660808151601501, 0.11225863295907615, 0.1062703380987795, 0.16862800019028623, 0.29962996384358753, 0.34682180659220607, 0.34715892073335153, 0.5705032662581894, 0.35009060722000157, 0.45320264605278704, 0.26810840825645443, 0.34386201562266355, 0.12325766995479558, 0.38982840796205465, 0.25868318049204764, 0.04829987888554682, 0.14321133255597138, 0.295258482884314, 0.32696375809729444, 0.11685485529997507, 0.21374166863476965, 0.2830526975617517, 0.2801104018952554, 0.16002424984921426, 0.2511049547663009, 0.2600122161163515, 0.4371062698085896, 0.2986791458583691, 0.2593494906745989, 0.10507475218600835, 0.1360002865957602, 0.13598568963336427, 0.2982515373753179, 0.11805365719918622, 0.4131547776111314, 0.2655442681359448, 0.20402195505044962, 0.1652433797015194, 0.1949074363324377, 0.45939696461775054, 0.3323073987114314]"
,mPSNR,8.704834157837,"[8.777417285471788, 9.76644869245169, 8.553844705000786, 8.584249105216719, 8.8682598832863, 8.541371364049155, 7.017788780745952, 7.6071735693242415, 7.819724232350498, 7.471476666702062, 7.755931018024119, 7.409094473544142, 9.127432474274128, 7.86553880342476, 8.601289060936553, 9.359242857768121, 9.370402537515933, 9.151682979756293, 8.286152988822938, 9.263055136600075, 9.043896895387478, 9.12171334601511, 8.47272736749413, 9.415911890590476, 7.863464827716774, 8.706861134817784, 8.440679157594131, 8.152618188179915, 7.831108641567159, 9.704866323305502, 8.044483789318843, 9.828214261005225, 9.708214574847075, 8.738749339418248, 9.774408703161031, 9.772444720143472, 8.755732206657822, 9.715474336996706, 8.764974914917635, 8.054481639686815, 8.062402849823581, 8.394098817780558, 9.13914399451025, 10.048692723868168, 9.183097240809566, 9.072096186854004, 8.11872864749571, 8.823294719741856, 9.152007155122412, 8.139542681756398]"
FGT,,,
,SSIM,0.9979839904779381,"[0.9993249920154982, 0.9993636254379824, 0.9975078359471681, 0.9980579902651817, 0.9990391938259858, 0.9989156983777882, 0.9976006635353656, 0.9971948398874821, 0.9991929988833544, 0.9966727330820447, 0.9977403760092755, 0.9940981514134289, 0.9975140056981662, 0.9941238684238131, 0.9984410530077167, 0.9953733209362682, 0.9977436934468203, 0.9990282396469577, 0.9990147118978445, 0.9991696465480256, 0.9963841874655807, 0.9976294666044055, 0.9986001275662706, 0.9982611661194638, 0.9980190681079592, 0.9961249505698143, 0.9992385887629435, 0.9979956057469167, 0.9980146631855349, 0.9991922244006674, 0.9988159936558159, 0.9980993704295825, 0.9991474164770535, 0.9990760376307756, 0.9991936728833452, 0.998389994393805, 0.997514255778646, 0.9986650713916401, 0.997118654527091, 0.9996758610204889, 0.9997067340940385, 0.9970144214703026, 0.9984866160725184, 0.9930798536609581, 0.999334795467878, 0.9995374660815912, 0.9987571800386812, 0.9974681804676347, 0.9976108548472858, 0.9979294066920364]"
,PSNR,53.559400794411765,"[57.58589663016048, 57.25693772871803, 52.394883010884854, 52.65807176642423, 55.20994866887164, 54.46365637099621, 53.594364786385434, 51.22276902752873, 57.60038617245855, 51.448983588191666, 52.80624951130095, 49.0908261606237, 51.98064817271291, 47.710809145882884, 53.82352362723981, 50.44600063931477, 51.91034022124232, 56.084384013819516, 56.28366754631894, 56.68976634261186, 49.846263483776234, 51.61155715451383, 54.29432232785161, 53.12343107894097, 53.17444896434803, 49.51157550868985, 56.88863220104881, 53.082426910971215, 52.774046540022724, 56.585385773042425, 54.97199264170901, 52.6323270618863, 55.87937915067252, 55.96679236670116, 56.37144114965628, 52.775401118971, 50.39553995343045, 54.381210355759855, 50.64800339669706, 59.044417799149514, 60.78513870607955, 49.733379723532494, 52.8049958754555, 45.90254417894229, 56.540150688907104, 57.789450930363614, 54.173400052152694, 51.445396840176336, 51.83778739957303, 52.73708725587898]"
,mSSIM,0.946041310000215,"[0.9721456500404114, 0.9665835924069548, 0.9600295990402392, 0.933491387599532, 0.9687938428940386, 0.9422942934663749, 0.822886980110372, 0.9186469744629974, 0.9706612342523101, 0.8728857762133436, 0.9281410513616376, 0.8472099998018268, 0.920440304171783, 0.8799031454158768, 0.9767697499591825, 0.851816925611958, 0.9755044784043383, 0.970076601486118, 0.975588230377007, 0.9598086972111523, 0.962302731665369, 0.9561310314777954, 0.9746917602993806, 0.9612824970569235, 0.9060263996568677, 0.9338508143462462, 0.9706206863671135, 0.9659232245191156, 0.960246669650607, 0.9614004090626874, 0.9444868982278365, 0.9573134999975326, 0.9597421117994848, 0.9717442426657197, 0.9776487195636617, 0.9662320818621718, 0.8931579775117521, 0.9633529167941213, 0.9198258497727817, 0.9429896145787737, 0.9785003890788698, 0.9283147815507895, 0.9425689407875659, 0.9634479757526659, 0.9758115298727311, 0.9784880205296467, 0.9697159116041976, 0.959929242430821, 0.9777910623300349, 0.9648489949100418]"
,mPSNR,42.335814833370506,"[45.782347143115686, 44.36207313884352, 42.758920598209656, 41.64876284986271, 42.96994172504107, 41.66907046098963, 37.24829435358936, 39.95433735823762, 44.96595464249133, 38.973510244347175, 40.974057376842055, 37.00217670911531, 39.10586339469643, 33.577946768878974, 45.86482925494814, 35.986511541001065, 43.572196626824294, 45.08587140830475, 46.070777193815935, 43.635935018154306, 43.95222666830365, 43.44879081025403, 45.68790938399317, 43.531082858073724, 39.84722882044045, 39.73750290102399, 44.79032022403038, 44.67005344416059, 42.8212354540317, 44.105808307841755, 41.524923457771365, 42.9335203729167, 43.87698866419373, 45.53856138291373, 45.91444866586997, 42.71572554041262, 31.71072532136355, 44.246493213841454, 39.84743261037056, 40.846150960658036, 45.832643492209264, 39.22206884610783, 40.53061509151084, 40.88560057355107, 45.68786478701433, 45.488327185028325, 44.20931614149528, 42.89530688308783, 45.78600828395372, 43.296483514792705]"
