Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9700209387811053,"[0.9325777469485891, 0.9582043620411902, 0.9667905053975353, 0.945214552671713, 0.9626689529831767, 0.9603769397473979, 0.9830808489756723, 0.9616955142015495, 0.9704990949679689, 0.9854530820052786, 0.985104198074184, 0.980186068073265, 0.9256762453432961, 0.9693713808219605, 0.9697918529249264, 0.9777338142477298, 0.9595409681129267, 0.9791798088769976, 0.9755037472617957, 0.9756721526817332, 0.9418272842642196, 0.9901476094819556, 0.9764731286370408, 0.9550207899582216, 0.9566284518434308, 0.977331384172368, 0.9783747448461927, 0.9760856887414895, 0.9830535861895225, 0.9866280879070471, 0.9646140833206545, 0.9798798828868601, 0.9803420831809356, 0.9592070938891926, 0.9721808589986622, 0.9807053689479334, 0.9462551987834821, 0.9761798141257767, 0.9849315723628559, 0.983479459849078, 0.9852665646249991, 0.9882709412301734, 0.945024252255564, 0.9616728679461314, 0.9684231493598316, 0.9687364259861809, 0.9806785481163479, 0.9755964690498233, 0.9819986908773237, 0.9717110208630828]"
,PSNR,47.0609958397163,"[45.774007052290706, 44.76020229739756, 45.73561116043262, 38.8688429865637, 49.125054227615045, 47.851476629660894, 49.93933590599731, 47.59822911007066, 44.42568716915371, 47.886253381907935, 48.618678211474766, 48.69389521588544, 43.52752510419932, 46.94333345590593, 47.659204658227374, 47.21184521244696, 47.13828267261897, 48.649282826572524, 46.97795445563399, 50.017445313456335, 44.82481654317234, 49.26937390646315, 44.553450787310744, 45.96932410940472, 44.30179356851343, 49.30607376175417, 46.7247839830302, 47.507100440656416, 47.482753096294715, 52.19047044454332, 48.42208274248299, 46.1679908200033, 47.4243865797653, 48.11754746803277, 50.25445262972316, 47.566194181185594, 44.58057096256763, 45.937147784819075, 48.34879495045988, 48.74991262493943, 52.269054034777646, 49.71379522968916, 46.7462004021844, 41.00429441568835, 46.88559815126432, 46.122977645816206, 45.848981863424285, 45.451352996218915, 48.40794870829575, 45.49842010582137]"
,mSSIM,0.2939600107472567,"[0.09521291280990576, 0.35271250124478176, 0.22516068412490095, 0.6341372677497384, 0.0935793440073575, 0.042837902257473345, 0.23465413167023563, 0.06199552021963533, 0.5604953681801456, 0.5100761899896247, 0.4135915045303787, 0.2048908185924445, 0.1399592113439164, 0.29445461895197794, 0.16657819722537873, 0.27744786605607724, 0.13030989320173425, 0.2609853979653388, 0.27307474128897863, 0.11685101632624313, 0.13608322048246385, 0.34633903202340566, 0.35974380889220003, 0.22979351420032632, 0.375777653639777, 0.2256063769905055, 0.3940365937950784, 0.2443571721891841, 0.3773796048231728, 0.02880103468387274, 0.10728614613641968, 0.4962416247439961, 0.43398006377069737, 0.05483851498702263, 0.0359447209389266, 0.4587408037593505, 0.2865003015534478, 0.4104864827953135, 0.6035123090766048, 0.47021358655722517, 0.027724720891673486, 0.5026172403352058, 0.11359918139696246, 0.593331325821595, 0.21882804017325666, 0.29007567523136346, 0.534290170208522, 0.40266998494807854, 0.39467638788122067, 0.45552015669970236]"
,mPSNR,9.701743503224636,"[9.0210728506976, 9.070669699863837, 8.582359828265115, 10.315571928708591, 9.189988334248673, 8.945741996029895, 9.948036249971969, 9.45978178061848, 11.02410638750163, 10.934357444081908, 8.43292009945104, 8.869571163716838, 10.157538601017716, 9.71779263580302, 9.158017434890233, 8.885519033526998, 9.182347575873472, 9.306077314293855, 9.316976531768509, 9.515999690822317, 9.712578677310384, 8.606808713446988, 9.075704475014433, 9.072963389442254, 9.269878465265457, 11.625891285715461, 10.917988381281383, 9.190356541033275, 8.43993507046716, 10.392042516877925, 9.1761883640668, 9.517725292761792, 10.46161891298193, 8.622363491245881, 10.17587429791583, 9.17884083753979, 11.23161035777277, 10.803895084551831, 9.554975515849721, 10.559445443673347, 10.599412229681962, 8.72688813170055, 9.599503690948028, 9.843371205516016, 10.827963683218162, 10.071587524150448, 10.655874990989071, 9.733048524787577, 10.53543309578276, 9.872960389091192]"
FGT,,,
,SSIM,0.9976187820658255,"[0.9953717523232678, 0.9966961824331667, 0.9964270128932681, 0.9868980507485525, 0.9954879972351977, 0.996213351845263, 0.9983376252166654, 0.9983878825724548, 0.9963901485800902, 0.9980665020210098, 0.9994713129457079, 0.999097794017349, 0.996117559227715, 0.9989315225821511, 0.998864277521767, 0.998991126348315, 0.9980839257401263, 0.9980153621411721, 0.9979769533720887, 0.9981939049906035, 0.9953066361917203, 0.9993708766625713, 0.9976396740809687, 0.9974288894046254, 0.9984155871739571, 0.9984253519873235, 0.9985582082752078, 0.9987325418122439, 0.9989770008795499, 0.9987791034340662, 0.9968888082457418, 0.997719126224848, 0.9975029357816653, 0.9971099393660183, 0.9977399056539786, 0.9986488853636196, 0.9939800918320669, 0.9981409546592852, 0.9991887943690542, 0.998211708345417, 0.9987119239683976, 0.9990346240609339, 0.9968775555863906, 0.9971448711496559, 0.9982889526252497, 0.9988381257866461, 0.9988371953575341, 0.998897997455724, 0.9988052616380015, 0.996717331162884]"
,PSNR,53.810432384368525,"[49.963328632769986, 50.93559420348419, 49.89576131889787, 43.435263685982015, 49.90170854198279, 50.625715196085785, 54.13680082010808, 54.710119682704814, 50.58183256112078, 52.839491926148796, 60.12829204706372, 57.65387566281739, 50.31835211277123, 55.46806188312963, 56.32438856071221, 56.78250697408001, 53.67919585650369, 53.88274790634511, 53.79099518381116, 54.55519359519296, 49.94886552842378, 59.53401506490884, 51.885658042452576, 52.554934514960685, 54.82002955165243, 54.793987324772914, 55.407699517750395, 56.526840903387466, 56.27825040679199, 55.64934607121073, 51.78702525277791, 52.978767307399785, 53.57277544086397, 52.64918868355974, 53.85477150297113, 55.880389455468105, 49.23392919896059, 54.02586268581295, 57.715220594074516, 53.892634473666014, 55.92568216695204, 57.42753830585917, 51.932840628102106, 51.079836775000736, 54.161367525288526, 56.38348397074954, 56.29197051552765, 55.893169500704616, 56.68498946785463, 52.1413224888082]"
,mSSIM,0.938892827233705,"[0.9396048054103975, 0.9490568851069843, 0.9051144814165802, 0.9070551507717768, 0.8794973546091799, 0.8998939167650567, 0.9156124137554571, 0.9592441079797028, 0.9260639327346947, 0.9252170661292237, 0.9739056231345081, 0.9598210717447411, 0.9467144656661424, 0.9676417167129943, 0.9678663039264259, 0.9728130014603651, 0.9563522729946118, 0.9173308214732633, 0.9362072138894817, 0.9266598517487644, 0.9153508039407355, 0.9430280885330926, 0.9228214206844753, 0.9507134623178861, 0.9763539803493939, 0.9322231954551055, 0.9511563524233414, 0.9500452219435814, 0.9623783408170772, 0.9002891057183204, 0.9088667295419767, 0.930591903717746, 0.9100560589852746, 0.9223982701278775, 0.9192004415570697, 0.9608483659211075, 0.9065520772370798, 0.9407952503032032, 0.9756623273568866, 0.9313306003585168, 0.9161363612351012, 0.9467729928149244, 0.9463098930314728, 0.9658659083255134, 0.9455935376209227, 0.9685047464395339, 0.9677637819410861, 0.9684174507536912, 0.9539150587946443, 0.9230271760082556]"
,mPSNR,42.58243662034827,"[42.702962361992064, 40.88190305136793, 36.209203089778136, 35.78620254484987, 39.005287670117006, 39.43808143949215, 37.915032855254466, 44.68725747843382, 40.76691890682827, 39.32287739372603, 46.37729271538733, 45.40284343139324, 41.86187065277477, 44.94776595123149, 46.0809953653885, 47.038711603121655, 44.28711757059568, 41.374320809162334, 42.51455357570524, 42.47043207285142, 41.5704389819374, 44.27428103967547, 38.74840308499443, 43.00694385734677, 46.56058820882799, 43.624458006488005, 43.49578115240782, 44.86721426722703, 44.03795926700695, 41.16427495704039, 41.425394093009594, 40.17186390511612, 42.245816966383515, 42.515869369766875, 42.37685182853936, 43.5869338899592, 41.5035347247504, 42.51954595807035, 43.96528527409539, 40.73511231751369, 42.51228943834303, 42.460297538801456, 43.189119166276015, 43.29102248823885, 43.90132830707686, 45.90314542369072, 44.97097940437297, 45.26674622674684, 44.478229906396564, 41.68049142786192]"
