Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9693137612505047,"[0.9636617016064717, 0.9748406898667111, 0.9835946978318285, 0.9876812226632138, 0.978158102386216, 0.9820514201371068, 0.9603489940043923, 0.9453593434755221, 0.9763072326169535, 0.9907694314562269, 0.9789486585294127, 0.9699088794182638, 0.9768064101200151, 0.9515512406480721, 0.9792123316178009, 0.9660492186863551, 0.9671161897199766, 0.9659064376838854, 0.9815029423012264, 0.9822832477109449, 0.9814133814963745, 0.9823584368793092, 0.9717883067045691, 0.9551433670103, 0.985231024766868, 0.9397932464795179, 0.9887841993933643, 0.9600655034491639, 0.9451697799047878, 0.9819197298170904, 0.9717438912289751, 0.9541532632365218, 0.9638537363632261, 0.9682955351404883, 0.9757168656039701, 0.9630020965187001, 0.9640984000750766, 0.9615557752129594, 0.9454705433765644, 0.9875607664793474, 0.9306310223353674, 0.937200204710182, 0.9601514749925618, 0.9634028571099306, 0.9675094684798909, 0.9911264620290531, 0.9687764205899579, 0.9793081448002557, 0.9788495675318419, 0.9795561983284279]"
,PSNR,46.47036441880523,"[44.798970316221954, 44.066463917465754, 48.53406966297825, 49.22812527027144, 47.83737102876478, 50.18303564758468, 46.105225952160076, 43.42268857946273, 48.046674933605885, 49.99322976766334, 47.58567494389317, 45.63722740399028, 46.20328483685806, 40.6082978576217, 47.39978041327277, 44.773668543337344, 46.784137905593525, 44.613876496130196, 49.220681377125786, 47.699967936043485, 46.82553485223528, 48.16263123834736, 43.82296433877697, 44.03514605315158, 52.684884345842235, 38.939763794694564, 52.45772789313922, 43.301689557218765, 45.3372894519286, 47.22392343974613, 44.112738461781014, 43.14416695448444, 43.464971857733666, 47.26037126880346, 46.12392749951684, 48.215453644294726, 48.03102537443979, 46.09581680686486, 46.775616832181086, 50.61841141411621, 45.5156520468889, 42.16492332225993, 45.50300472059313, 44.57389275114839, 45.313964630606904, 49.568689407052005, 47.372810889571056, 48.07449579217372, 47.896677241767264, 48.15760226885868]"
,mSSIM,0.29898762000999934,"[0.3446998757552562, 0.5238640390972892, 0.18429192145325932, 0.40906956502335057, 0.15809473148551625, 0.17754144740995195, 0.14246573047804045, 0.17623391053234852, 0.29294041619706523, 0.33644551402427103, 0.24698080652669796, 0.2954003700783428, 0.251797459799515, 0.4505210531581597, 0.2564211803238815, 0.36108534214369126, 0.1765155510130496, 0.355270526320919, 0.1942701436414641, 0.3462210601192021, 0.3962815953180535, 0.2579367968851334, 0.6488105499418614, 0.3321134861031991, 0.01760559966795566, 0.5983520688938069, 0.25327304575729215, 0.42334989930495676, 0.19717862506210182, 0.32577387696215465, 0.5019710544441129, 0.3854931488605762, 0.4789143738489634, 0.20273461883678537, 0.5168373924936033, 0.0857306359928703, 0.08397325380868874, 0.26233249801180414, 0.09578535544463161, 0.23223473777447132, 0.09826650056258462, 0.42771824101059047, 0.255226347806806, 0.36475870810043, 0.34572782702857147, 0.4152165944369617, 0.2793511772191461, 0.25622216732334824, 0.2623496173551725, 0.26773056166206344]"
,mPSNR,8.741500110526355,"[8.474223728419242, 7.581021117882637, 7.972064202766869, 11.540813042778773, 8.733395813893807, 9.675553142700771, 8.303225356705429, 7.591994381170516, 8.05004813145217, 7.734374931009359, 8.338353042079374, 8.098517742855252, 8.428602589680295, 7.588712947867409, 8.378109129574307, 9.589807839999072, 8.887203821821066, 9.533320474189718, 8.532923914645984, 8.238419587679608, 7.944118599748187, 7.327530839402979, 7.959408885211391, 9.035665012147833, 8.636709003840984, 9.061750828516384, 9.727771307044705, 8.233910863141814, 10.120567980771762, 8.657356574210034, 9.837117430975265, 8.856456738029731, 10.121938424174271, 9.375499374125653, 9.608921810078577, 9.474944320339919, 8.065427839231555, 8.749596654313507, 9.135696063731855, 7.287036764152235, 8.674680398519964, 8.063910165634951, 8.882339072721926, 8.254273057717095, 8.397448866305584, 10.732697115459345, 8.472482568129568, 9.433768003566374, 8.410143952105466, 9.26515207379701]"
FGT,,,
,SSIM,0.9984615630332003,"[0.9992480622651327, 0.9993505080588442, 0.9996646192762385, 0.9996957786288854, 0.9995281243758258, 0.9996758849897834, 0.9990602395187081, 0.9984189219052143, 0.9991863853797874, 0.9997267565413752, 0.9993963969840215, 0.9992416884385812, 0.9989393391761631, 0.9986755196309899, 0.999387213013342, 0.9992421510170258, 0.9992676453543359, 0.998690262408325, 0.9995221480415379, 0.9995284872731741, 0.9986091541698996, 0.9988808153147494, 0.99790967446156, 0.9973876827744973, 0.9993790067617844, 0.9942819109720329, 0.9992453455680449, 0.9968523634105018, 0.9950422342017227, 0.9994040423316672, 0.9974422237482933, 0.995025972431817, 0.9960335645673547, 0.9985230100125309, 0.998545777477445, 0.997334762998506, 0.9981344186367492, 0.9987963012130234, 0.9981306131111712, 0.9991343207521887, 0.996308791480565, 0.9968357107467282, 0.9980095155430554, 0.9984343496286102, 0.997993577053529, 0.999463693875076, 0.9988175214709978, 0.9993929330516469, 0.9992715438020273, 0.9990111878149414]"
,PSNR,56.066848678568604,"[57.775186087770706, 55.52475574178062, 59.7519576365542, 62.17971509693224, 60.58545781621034, 62.614489646854366, 57.232396186415706, 54.10212234234471, 57.23546269656537, 60.0215316219235, 57.81449849730775, 57.13624334650256, 56.37420762362354, 55.03831664664162, 59.38538819167257, 57.80988588969759, 58.28564767632656, 55.03375663889257, 60.331733695002484, 59.81511247623664, 55.414787244502634, 56.28411927976561, 53.549126399697826, 52.854232398833936, 59.8116876232121, 48.341230349061675, 58.74648667261272, 52.329083719282465, 50.372306590702564, 59.58359738222437, 53.044629782476505, 50.739509270842106, 49.88654506748315, 55.08390163140216, 53.60388136626462, 52.59245777204853, 54.323066139880154, 56.56890999181776, 54.69673476780515, 57.07486408235414, 51.388221876739806, 52.268174292635486, 53.96589616808108, 54.15663428950147, 51.99394806176181, 60.190035892283916, 55.77038602719682, 59.114536793132764, 58.38256685960168, 57.16301057996966]"
,mSSIM,0.9642205277801278,"[0.9836909793376014, 0.9863584358130192, 0.9790053239165818, 0.9816996712094841, 0.9786722993518724, 0.9840126414271378, 0.9785331047658998, 0.9722014281731192, 0.9682509752430091, 0.9755490242329046, 0.975834960125327, 0.9821311028731158, 0.9580818753416358, 0.984221666127705, 0.9754555963709319, 0.9838447298547423, 0.9793023884176665, 0.9770365704753521, 0.9789108697297773, 0.984179368322048, 0.9685074031073644, 0.949726474946698, 0.9689887642483339, 0.955294532628642, 0.9545451449457416, 0.9591856687553991, 0.9271691532924193, 0.9476114671860961, 0.9105917878223933, 0.9771307585267004, 0.9509651024034625, 0.9205162473545976, 0.9347642975782434, 0.9646036777882253, 0.9708695957102669, 0.9178352172622164, 0.953507052687472, 0.9747730131839729, 0.9660393545698028, 0.9355954835686031, 0.9424676784449246, 0.9689197648445803, 0.9583970534778495, 0.9677002794152312, 0.9509064574814597, 0.9653044061911347, 0.9728221483517768, 0.9736794595287196, 0.9741948236785043, 0.961441108916628]"
,mPSNR,45.11379939883142,"[47.82171753782343, 44.696242607147425, 46.859314694544935, 47.94874907921157, 48.56559594089613, 49.884082263680874, 48.08254650456544, 44.21673708541541, 44.88779505099479, 43.307089762699896, 47.20018090720477, 46.5218803719298, 44.50908994892349, 47.61867037914086, 47.40116616881359, 48.43203846427291, 48.35526588646954, 46.251406939904825, 47.564564113972516, 47.65617816943223, 43.20625736254395, 42.78133633341331, 42.727074406073314, 44.094056879661125, 45.67807237727182, 42.416244273018854, 42.67334029060742, 43.68279778524362, 41.04035196621617, 47.51488026938631, 43.925138877709166, 42.35551587653007, 39.64117754090411, 44.89593952052105, 40.98266044388051, 42.432099585584155, 44.00789102886787, 47.24294422454751, 45.93680664757138, 40.90885465591661, 44.00999538012772, 45.26825190571843, 44.95428350858886, 44.472821253328846, 40.436187180450325, 45.37215101393908, 45.91463549854966, 46.95030561783128, 46.565751537782276, 45.82183482274157]"
FGVC,,,
,SSIM,0.9981768409461804,"[0.9992158080617015, 0.9992361521682157, 0.9996768641402024, 0.9996545531885458, 0.9994603258275574, 0.9996053748173092, 0.9989439734348586, 0.9975876335054945, 0.9991036731105684, 0.999712066319688, 0.9990045387432757, 0.9989513500691207, 0.9988436788143811, 0.9987260100393561, 0.9993558827788206, 0.9991801304709242, 0.9991809817840206, 0.9980630103745481, 0.9994329637294522, 0.9995222564602728, 0.9983366719217636, 0.9987455828134265, 0.997720276045662, 0.9970005208688703, 0.999160546439381, 0.9937081385202847, 0.9991493006120272, 0.9964747404934649, 0.9940213481536112, 0.9993202760942957, 0.9963972940221136, 0.9946030369845786, 0.9942109393647488, 0.9983328447125941, 0.9981397068655369, 0.9967978232267601, 0.998018778853032, 0.9985493036604001, 0.9977332607216622, 0.999111088134255, 0.9956413109947793, 0.9962335207859901, 0.9976909161119307, 0.9979272052456626, 0.9978593327805744, 0.9994484085851658, 0.9986017100889422, 0.9993299648831906, 0.9991686341667929, 0.998952337319229]"
,PSNR,55.256378025774296,"[57.88173009280356, 56.334472946980796, 60.64188289331537, 61.61014296830082, 59.730291116394135, 61.667781988464796, 56.53405618212666, 50.75366962557648, 56.807406096753056, 61.42769532597164, 55.974548821403545, 55.34601323127586, 56.040403363164856, 55.14596223660773, 59.128586789534424, 56.994948147432694, 57.7526090869867, 51.787316892935216, 59.37843203622832, 59.37466527937676, 54.72962865466794, 55.90670256512969, 53.09720852030048, 52.3123811745571, 58.22519017173989, 46.291020213323826, 58.383898704014356, 52.03481937826193, 49.43166516392882, 58.98083508919075, 51.06357393999889, 50.31101756478517, 48.35463913818345, 54.532443297776595, 52.64629092766562, 51.70897602371207, 54.03581165881745, 55.31173488680003, 53.988495477167945, 56.63047423853448, 50.699629626883, 51.422583934610714, 53.34076140941143, 50.937392415137765, 51.809099348975835, 59.48070344308078, 54.18678340394692, 58.391164443559084, 57.48612621964109, 56.77523513327837]"
,mSSIM,0.9623943517458224,"[0.9843824130280744, 0.9841625643086691, 0.9826495237505312, 0.9803269937606828, 0.9786176919285681, 0.9837440614269259, 0.980205379407213, 0.9647562565528759, 0.9699274472533872, 0.9767879649753397, 0.9750609533558131, 0.9780009866821491, 0.958010448593216, 0.9850982361540794, 0.9760528496815113, 0.9836890828248772, 0.9802148893167196, 0.9630821498221518, 0.9781466133524482, 0.9825538952266087, 0.9664472443446475, 0.9494271369371272, 0.9675500613248111, 0.954147232941091, 0.9510742405736284, 0.9564818205696917, 0.9312433182405979, 0.9476605492257547, 0.9029391033636077, 0.9776796756809211, 0.9330565330731837, 0.9187609643850867, 0.9057298065516419, 0.9647706552266769, 0.9649276790783954, 0.9169485722139307, 0.9575077131472616, 0.9738538956117377, 0.967803978796456, 0.9389958465643957, 0.9447341838775764, 0.9648355082573953, 0.9581150079407291, 0.9631950588550797, 0.9494996416082511, 0.965195502987862, 0.9728485945761131, 0.9741767333835822, 0.9745181759571564, 0.9601227505948965]"
,mPSNR,44.65275914403748,"[48.39433331600995, 45.875653798657964, 47.95924667861628, 47.69464805262709, 48.43673373069176, 49.75187587931409, 48.39822986557304, 40.07836576316958, 44.941113241658606, 45.38528333657212, 46.09162787954726, 45.175656202378114, 44.59600323907716, 47.849721034368606, 47.66459023400276, 48.2209648198299, 48.67329921651189, 36.58650239495525, 47.41150304496201, 47.55403234115611, 43.480392900033195, 43.29434371489724, 43.15977058884309, 44.04904883216886, 45.442580759764304, 40.19268677167517, 43.297028775624476, 44.110417956832634, 41.01599896054111, 47.68885815677998, 41.91642798465829, 42.45807940212003, 37.450139202826506, 45.00105041881685, 39.327598061563776, 42.29298640826215, 45.4181154415721, 46.589326449771605, 46.61849162362324, 41.299962701358766, 44.36082680007953, 44.80335473346101, 45.13635282819715, 39.56457114399641, 41.698641939629596, 44.968731760394675, 42.63543586296005, 46.593195063322234, 46.37134035730445, 45.6628175311165]"
E2FGVI,,,
,SSIM,0.9976328005576698,"[0.9989456356082907, 0.9989787555288167, 0.9993718001765036, 0.9995710224613742, 0.9993879909605862, 0.9993463559405237, 0.9984280605527182, 0.9974137182856698, 0.9984365051869609, 0.99944774104932, 0.9983612022038769, 0.9984650714641887, 0.9970772062333514, 0.9960337391675506, 0.9986576383242834, 0.9970395652991257, 0.9973987898721316, 0.9971581284229433, 0.9988907597102573, 0.9992527171266086, 0.9986674297248676, 0.998734251042853, 0.9981310845886503, 0.9968712343639451, 0.9990196568967703, 0.9931792301197978, 0.9990023257834134, 0.9972050870846257, 0.9934030614276006, 0.9986943279820618, 0.9964124798404055, 0.9968912135955191, 0.9953401851034696, 0.9973956693532231, 0.997790301382954, 0.9970418582743945, 0.9975352975622886, 0.9969660369780863, 0.996178976000171, 0.9985815856283983, 0.9947547531808486, 0.9942434712246282, 0.9963372832924652, 0.9974750894908784, 0.9966238694155711, 0.9988074231282957, 0.9975425309789916, 0.9984917329797, 0.9983671672238644, 0.9982930106596827]"
,PSNR,53.783271017454965,"[55.95291883662139, 53.561329721937, 55.73350867816788, 60.17260666391063, 59.24663259721892, 59.00044175107274, 54.48566822031816, 50.951323785372125, 55.171443792848, 58.757070209148175, 53.69061783392052, 54.10963329270154, 51.918283265946876, 49.29467387050963, 55.46714307626282, 51.763467203501406, 52.60456851025573, 51.83029935850952, 56.8872163619481, 57.518583267489056, 55.515627961023156, 55.46316382454386, 53.75815756265959, 51.98346965828154, 57.92765605138031, 47.28916953206188, 57.608846854837765, 53.06507216917176, 48.88018624628144, 56.38638426936745, 51.70750112804022, 52.612584722687856, 49.03377645331374, 53.095335894323426, 52.29659517134486, 52.136436565675375, 53.24781861415577, 52.60034613159851, 51.491685021808216, 55.25226166184537, 49.92303434114932, 49.75883520298186, 51.564105286223445, 52.676107351630336, 51.00456474687665, 56.690848629034264, 52.90135647043969, 55.278376511147954, 54.880546829890086, 55.01626971131169]"
,mSSIM,0.9401526902658154,"[0.9793918868650987, 0.9786930276808764, 0.9633359636860243, 0.9766523017286496, 0.9740899554783228, 0.9692534658618721, 0.9680806996351402, 0.9544141654875958, 0.9395461066450272, 0.950007951762522, 0.9313528567183814, 0.9633547420881597, 0.8819822304827026, 0.9503755883480114, 0.9475534774168262, 0.9379111626900726, 0.9269654366491019, 0.9438397817866881, 0.9484830473083928, 0.9734850924030097, 0.9489008533066932, 0.9422877500661995, 0.9742356304680163, 0.9418951692269167, 0.9222986199244186, 0.9513248176740142, 0.8933066420846681, 0.9514494643462219, 0.8773302247280405, 0.9470258646952695, 0.9261660888965006, 0.9473950256772772, 0.9248751077733558, 0.9362114691004247, 0.9554979158183619, 0.9177926490298791, 0.9421508181708276, 0.9321697688877808, 0.9310343813961233, 0.8991457744248148, 0.9210303172903086, 0.9409208413580497, 0.9275382267051316, 0.9444297000547661, 0.9085528466673523, 0.9089208010979011, 0.9348420685214699, 0.9368067568866177, 0.9379442153410311, 0.9253857629498335]"
,mPSNR,42.85897920610998,"[46.40936321196829, 42.29691060566463, 42.33464251519625, 45.999287838789186, 47.53761342484138, 46.42032805994505, 46.00951377223031, 40.59127834475206, 44.198829351313655, 42.20159172328288, 42.8395066010441, 43.48742242729082, 39.505616342526295, 40.999721526102626, 43.727274750012924, 42.22954974038046, 42.46963713119207, 42.45822869649526, 44.240312140201176, 45.48342905041484, 43.24092476953433, 41.18939777095436, 43.6771042377293, 42.88479689564604, 43.50240790761907, 41.25069913500663, 41.47009789911767, 44.44445020192076, 40.21985333520704, 44.57804107979367, 42.547386369134216, 44.269275689901875, 38.62993048099731, 42.99210004437014, 39.238501081393004, 42.8294149274592, 44.057532216052095, 42.99267217105515, 42.67391326422719, 39.68773049630514, 42.775663564748456, 42.70961187033423, 42.3562088086057, 43.24988128934123, 40.64562406159462, 41.964047171129536, 42.411210091165984, 43.26554744158053, 43.080962977513494, 42.673915802417135]"
DeepFillv2,,,
,SSIM,0.9963181166841956,"[0.9975975492767817, 0.9945022472060822, 0.9990089086132116, 0.9987631511680303, 0.9984184931549405, 0.9980056658252073, 0.9974865698693098, 0.9965230646386386, 0.9983588877228504, 0.9985994021153571, 0.9977040219459004, 0.9960370857093688, 0.9958025706351451, 0.9868916088103754, 0.9975434550719436, 0.9940798896684154, 0.9968561288523526, 0.9940931127875611, 0.9979945811378697, 0.9979266069226905, 0.9975577622853381, 0.9985012689744496, 0.9966807342373939, 0.9956525273624961, 0.9988294919079456, 0.9830699117263334, 0.9986866639497275, 0.997120538791108, 0.9955012023374703, 0.9981241506399906, 0.9953892360792902, 0.9960475773275377, 0.9898319471868516, 0.9965933248954938, 0.9956801918268202, 0.9976737842548201, 0.9975184239755898, 0.9971136799068773, 0.9969119828262997, 0.998609887653231, 0.9958721388490698, 0.9914784707072837, 0.9957260200465559, 0.9966578733123835, 0.9956979775627265, 0.9973473827446947, 0.9973196257900546, 0.997231837537865, 0.9974121369985718, 0.9978750813834748]"
,PSNR,50.221968048706394,"[50.711428767057434, 46.70428238834462, 52.79698484371785, 52.649224250856896, 51.99722201511889, 52.264966373068745, 51.41168364866141, 49.48139797196204, 52.49560136018539, 52.24003530272328, 51.06034100294104, 49.32734953583687, 49.39621332119878, 43.86334072756089, 50.97399755051129, 48.002510664820534, 50.304804325195754, 48.03761911910938, 51.86354854400651, 50.89315746286485, 50.705729803967486, 52.00701269210385, 48.59521861859366, 48.87618602874823, 53.53663002838103, 42.332243481919214, 53.14082192191898, 50.04656026688337, 49.137846718941674, 51.53119342065354, 48.29012973472142, 48.93635273010165, 45.906518081713, 50.35205659123149, 49.264174939357076, 51.793358246929735, 51.59781287246206, 50.93012023724804, 51.18308911208327, 52.929605148802, 49.95607192884478, 46.39039323175091, 49.7002286250219, 50.12213585403628, 49.202597701274975, 51.516714110998905, 51.3118903773718, 51.321992475109965, 51.77230830169047, 52.2356999767173]"
,mSSIM,0.8725161863718021,"[0.9430896539953516, 0.8817400164218995, 0.9502260148485289, 0.9501885385849049, 0.9045875578008776, 0.7795248307860428, 0.8889298748138833, 0.9181785372768287, 0.8945306516514262, 0.8860130305812828, 0.8347880667460563, 0.8529973991109184, 0.781881320421071, 0.8200972907064131, 0.8511800942846417, 0.8273487051093564, 0.8324928301347927, 0.8378226377296825, 0.838076013022607, 0.9102564440477875, 0.8811953392582933, 0.9246340202846509, 0.9556758344156356, 0.8904610383957082, 0.8575807430487837, 0.8748014824740838, 0.8672493658321148, 0.9389715361044967, 0.8333990438217302, 0.9060336225435722, 0.8782702341781409, 0.9144859791341198, 0.8186147945725015, 0.8708771816270007, 0.8990610937134091, 0.8763102805852813, 0.905499313130969, 0.9017563633226235, 0.870450861289467, 0.9094355982952549, 0.8570461761056934, 0.8734407763786067, 0.8394394163337031, 0.9145533701298553, 0.8546308211160185, 0.7288597695012298, 0.8718574908471479, 0.823279573542267, 0.8435772272949873, 0.8604114632384087]"
,mPSNR,36.978200314289424,"[40.16274076199228, 30.36990671533436, 39.89914638893373, 40.087021761069124, 39.227846996766075, 35.17999697717131, 39.71848854388088, 36.01741100285755, 39.921704280396916, 36.276589409487464, 37.18073501724626, 33.54929530318123, 35.575391401645334, 31.37746961297346, 37.490762940798724, 35.204775116667186, 36.77031645276805, 35.34343767394158, 36.060996998168356, 36.18983401831258, 37.113725020963464, 38.60902195583436, 37.812445006345705, 37.52397293164649, 39.57328969700384, 33.30614186935276, 38.23601725012984, 40.811975357884656, 37.0664454047641, 38.62971346049024, 35.59080793928119, 39.43717831484122, 30.801934968391556, 36.40102246333564, 33.3877311960073, 38.888795328688424, 38.099435808265646, 38.98641756857822, 38.67693444043876, 37.48294787630059, 37.934677528273326, 36.49505153524805, 36.98435599771035, 38.64360662151707, 36.0945593805718, 34.8100222508483, 36.96796185048424, 36.43403637122448, 37.37821712353841, 39.12770582291848]"
LaMa,,,
,SSIM,0.9968473057579544,"[0.9980899548722876, 0.9963855649532007, 0.9994006113074977, 0.9993638543836019, 0.999220277715029, 0.9993524349063635, 0.9981116679854126, 0.9972646144155007, 0.9986511663063786, 0.998857583167521, 0.9981323480257633, 0.9969984975042062, 0.9957127428638209, 0.9875785941397716, 0.9978733043672213, 0.9949311503106858, 0.9972799447316335, 0.9949017617843485, 0.9986939644372503, 0.9985978142534447, 0.9980150644007321, 0.9988053385980237, 0.9971709844541848, 0.9963442589716903, 0.9993896359772266, 0.98749685515424, 0.9992917436522187, 0.9968279892086409, 0.9953671166157241, 0.9988374543221176, 0.9960086167805046, 0.9964319158046137, 0.9903214168320386, 0.9975009876653079, 0.995945586328813, 0.9980608237901972, 0.997996348423368, 0.9969660245440993, 0.9970442547037979, 0.9991193628878193, 0.9954120790373447, 0.9900545060094159, 0.9960147387663859, 0.9969537034741474, 0.9961830067701878, 0.997915916227003, 0.9979759748977788, 0.9977295408726432, 0.9977109478261844, 0.9980752424703422]"
,PSNR,52.54257088822179,"[52.984277088035235, 48.00806548994845, 57.515637455613565, 57.743346681209715, 57.39060945690872, 59.125820557379356, 54.31739614015335, 51.27831193109942, 55.44105537393535, 55.33576731408903, 53.20029546934511, 50.91881088344783, 50.57446979304525, 44.29067716202176, 53.34395314840842, 49.38899636915675, 52.423945524584646, 49.38983591000975, 55.087984503802545, 53.68043592164042, 53.27137641595917, 53.92913471888769, 50.98066538673397, 50.45042521416582, 60.089452685951834, 43.156521453637396, 58.845123476138326, 51.276574333012974, 50.09385418289453, 54.83515354178091, 49.21325828281299, 50.48903363322417, 46.68089275326777, 53.04911222921927, 50.60738425751114, 54.327539425104376, 54.64901179916388, 52.19838214323396, 52.3742186559755, 57.468990000299335, 50.77499710540457, 46.44076254624184, 50.7485119310789, 51.364939094823264, 50.58381060265435, 52.97832605942496, 53.78951503389899, 53.11136802335323, 53.65709201978102, 54.25342523161881]"
,mSSIM,0.8766798758277458,"[0.9483021577995997, 0.915407365274471, 0.9497339067233914, 0.9562651541831216, 0.936656425028056, 0.9188983727819929, 0.9088302011459879, 0.9301654355607725, 0.8999828150774996, 0.8656041609893563, 0.8367376986015724, 0.8791555774802858, 0.755290739058775, 0.824317319413857, 0.8337069466812432, 0.8409426288659861, 0.8309067317684422, 0.8488793059845752, 0.8618828545153215, 0.9214551185280134, 0.8761907185088547, 0.9056849184974565, 0.954075765321863, 0.903357704698529, 0.8821562110253295, 0.9052296461759057, 0.8907545082512287, 0.9208692332602348, 0.8087982944333593, 0.9148098218175387, 0.8899668338616948, 0.9113246611498531, 0.8225908036479165, 0.8819399778630269, 0.8914752716169967, 0.879046721296635, 0.9096283825670357, 0.8771820895443168, 0.8603396955326461, 0.9077638864428398, 0.834255914806252, 0.8426116374316599, 0.837561624125314, 0.9048915981730906, 0.8467737511709894, 0.7395808261878527, 0.880175333707855, 0.8223936021647031, 0.8329909269196126, 0.8364525157243832]"
,mPSNR,37.712511717680115,"[40.6990923998275, 32.923368100086435, 41.39166610198573, 41.464120149492736, 42.006830670347725, 41.798149136338935, 40.220900324836215, 38.55390471703715, 39.66100578087518, 35.73316002345825, 37.86218006001229, 36.419122500110774, 35.060617663476, 31.15985545414334, 37.594464853324986, 36.43580538605809, 37.248854771762836, 36.06226022086712, 37.429934868231356, 37.2275227337794, 38.244321602833274, 37.813991275666005, 39.20696495570556, 38.50832310024027, 40.10173716997932, 34.425476380699116, 39.642711849857676, 40.38542388390442, 36.6184482098305, 40.00580280384326, 36.84340950207921, 39.77944793732767, 32.67829635459648, 37.732601918624916, 33.72762088865032, 38.60698335221223, 38.569458123323926, 38.066167336668045, 37.78546533380854, 38.38667982182445, 37.13681777064493, 35.34172656213145, 36.85765016689464, 38.71630527050861, 37.15304393621221, 34.165856416143974, 38.63111837512215, 37.444349126262395, 37.48978743294829, 38.60678310940969]"
