Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9692627726873028,"[0.978791477313837, 0.9573562816640254, 0.949380905552942, 0.9695042793496932, 0.9839812969349158, 0.9788940448713185, 0.9714438338771488, 0.974350656622392, 0.9586755890483799, 0.9805819294251249, 0.9731290918260941, 0.9634405143169283, 0.9720939775243069, 0.9911541625692312, 0.9739749850030242, 0.9454584539093555, 0.983157770696207, 0.9658882092212618, 0.9683419909273737, 0.9637541928802165, 0.9606469141933567, 0.9847610490115773, 0.9897889589716399, 0.9752956667664453, 0.9284743352548359, 0.9536454402237422, 0.9719337627034358, 0.9830854892293045, 0.9547842231480229, 0.9857748309811254, 0.9404553104907429, 0.9742049748797038, 0.9716711610794996, 0.9249047016587305, 0.9690709537639358, 0.9865049831420073, 0.9873900345756521, 0.9448324692499929, 0.9822385365330568, 0.9934833666418946, 0.9661471039685647, 0.9761801125331212, 0.983116637132936, 0.978672523529548, 0.963957052954445, 0.9629158113172659, 0.9682950801075055, 0.9598272719686604, 0.9520454733391869, 0.9856807614814084]"
,PSNR,46.564657352507226,"[46.848338979229034, 44.854370756279884, 46.343902050541615, 45.37113182802247, 49.945553068633714, 46.252007486120455, 48.5930794916963, 49.62753986320529, 44.069644417014395, 46.97491034431215, 50.53839983786097, 44.38764896145579, 43.84682596266047, 53.98646252386441, 45.673985081298156, 43.40863924992028, 48.38481791485493, 47.95174293190469, 43.54098656701243, 43.77436329459081, 46.034773129391304, 48.22653241933619, 48.63308588490371, 45.776856351030666, 38.682593847523194, 40.62619845936874, 43.9765944508047, 47.042813951592024, 43.943993660465765, 49.766538576291055, 44.16277842304694, 44.905521026756155, 46.766185366366855, 41.23108482087483, 45.58537668389573, 52.54691969455551, 49.16993391767094, 45.36591629548184, 50.975303688427125, 54.13740202375244, 47.103118790052406, 46.60765026131071, 47.591192752818394, 46.04334749301869, 46.583101794853796, 44.71716545887223, 47.08731778569324, 45.414182152802915, 46.36682171470297, 48.78821613922202]"
,mSSIM,0.24776255505317388,"[0.23746502549679704, 0.3653220934803564, 0.10677667979343221, 0.24642501809886141, 0.09401340445721694, 0.2728487486229025, 0.07629848051182615, 0.10867712949393675, 0.2914140546433792, 0.2415213994338875, 0.02094722659450722, 0.2729859601820874, 0.6554369344712337, 0.018682324583028567, 0.26713507571478246, 0.17680089420123715, 0.19582514745732565, 0.1022023693539266, 0.4660227238537766, 0.3646470262584407, 0.22052084928206997, 0.45256920250268495, 0.24912166443314002, 0.1889920748430747, 0.5070757797515466, 0.47430509762091816, 0.42358140285644325, 0.4081454661075694, 0.32224616564764713, 0.16354356900573375, 0.1588278408684597, 0.42043775569760566, 0.1783395262097745, 0.3256687786546748, 0.2597792575537805, 0.032044503459819, 0.4441015957542694, 0.12483490768249912, 0.048391026624737946, 0.10087985657766009, 0.15196057964224718, 0.18896915802372585, 0.2811431393183462, 0.42821482220861284, 0.2053411364301738, 0.29658066630366486, 0.10272043726474017, 0.2124370287284977, 0.14243492788499812, 0.2934718190166352]"
,mPSNR,8.185790509379741,"[8.538532466799747, 8.508588441439787, 9.15234114028311, 8.173928143623808, 10.44437130408497, 9.346548121512377, 7.438585965879368, 9.570317435968573, 8.44466888373782, 7.471091020363561, 9.0853824109642, 7.754375932118633, 7.715264971235737, 7.600213336714562, 8.195066621303262, 7.3026442330399775, 8.764726567575664, 8.108737152831809, 7.526014086552694, 7.2967345805426795, 7.875715179936334, 7.155855325414042, 8.379394208627263, 7.01679066861889, 7.414737423912209, 7.496837698528548, 9.506340303172502, 6.830383220886436, 7.373387573235566, 10.825729919227168, 8.557978670695421, 7.4745143987036675, 8.288215790738223, 7.873457230960874, 7.580085145230546, 8.653401560641038, 7.052881630461188, 8.483244658154431, 8.050453173928652, 7.374502866481616, 8.82068565628243, 7.998791574122754, 9.129837966207173, 7.770139748148628, 8.328375681833052, 8.75781001969085, 9.061957755345656, 8.409709896229163, 7.863917585335977, 7.446260121664442]"
FGT,,,
,SSIM,0.9989047811877202,"[0.999285345313316, 0.9987955722436698, 0.9978667766903082, 0.9988822404398051, 0.9991589684444321, 0.999272096132386, 0.9992755438637756, 0.9990133187270985, 0.9984796931467891, 0.9995413888948761, 0.9989464812490053, 0.9990763192947957, 0.9990154277615596, 0.9992346571827898, 0.9991490244784963, 0.9987547819510986, 0.9993314959927417, 0.9988882141214397, 0.9986300504119408, 0.9988383892602896, 0.9987244843994755, 0.9996275986496248, 0.9996989283214789, 0.9992218871542597, 0.9965750956023581, 0.9984959268152197, 0.9989449123983706, 0.9996124894071734, 0.9988421151432328, 0.9994635274855158, 0.9979838969321474, 0.9987474626454439, 0.9983857528685774, 0.9963752218965967, 0.9987086325842339, 0.999155097653909, 0.9996512453953575, 0.9979014394235436, 0.9992486327467945, 0.9997957494119752, 0.9989273017330659, 0.9991732129865465, 0.9992319720184244, 0.9988297601326449, 0.9990841479913698, 0.998919562313168, 0.9990121987295701, 0.9989865787567064, 0.9989233760331123, 0.9995550661554908]"
,PSNR,56.08922998969959,"[57.60756556118072, 54.07361467935896, 51.952033824668206, 55.14289805176026, 54.7856610908448, 55.77348853487906, 57.714706740837286, 55.55471913512101, 52.50651525245587, 59.81511247623664, 55.4519598986768, 56.86598702160336, 56.21263506410227, 58.70526910030691, 56.17550654053532, 56.064074939411654, 57.30441450051583, 55.33200553142237, 53.7641994661782, 56.37051938314097, 55.24980119821163, 61.482404145783136, 59.39546502395715, 57.51656462534594, 51.17720565071103, 54.96525798158725, 54.825368324898335, 60.987161540803655, 55.47913687464431, 56.546341009101376, 51.80476339113351, 55.62546005335403, 54.768216199631766, 51.63283946715595, 55.91450321521351, 56.32724964870219, 61.71973068429945, 52.594705109709906, 57.48867268643886, 62.603741304459284, 56.02346876136827, 56.90802840522224, 54.82789332702761, 55.089824609139775, 56.481606661320185, 54.73422500228174, 54.66819096792843, 55.259489236376, 55.8370830873205, 59.354214498615654]"
,mSSIM,0.970512002832605,"[0.9728759794361403, 0.9797626258382675, 0.9616815289818879, 0.9683904260896835, 0.9523226215372917, 0.9718603330280056, 0.9753069744318684, 0.9635468902315735, 0.9731745517118214, 0.9794008443489199, 0.9559785910279528, 0.9804509438553943, 0.9848932307827144, 0.9272434968532941, 0.9726234022981736, 0.9799319573573052, 0.969533189401232, 0.9694093058922537, 0.9778080044987467, 0.9783306917597994, 0.9714598939454768, 0.9862463765174545, 0.9756240190522842, 0.970171302588568, 0.9759296184372434, 0.9835830202722301, 0.9775620452556443, 0.9862140619956243, 0.9823876870392535, 0.9674533314199532, 0.9703978002725273, 0.9731841573854205, 0.9427697113428517, 0.9638073462518841, 0.964612385222228, 0.9392285880087567, 0.9851903270022629, 0.9601881449846191, 0.9517827307387505, 0.9712894539465045, 0.9699620492660824, 0.9684177800619769, 0.9640977573131218, 0.9652579202583629, 0.9779289743316087, 0.9784583001290859, 0.9720376924168787, 0.9776530287171877, 0.9809732573356307, 0.977205790758464]"
,mPSNR,45.47627946342937,"[46.15627944589957, 46.06007463607388, 44.346757093984586, 46.009242269820554, 41.93275382733689, 44.89896676090154, 47.10551257254948, 44.732994220429276, 42.86648008061148, 47.5204431138723, 43.387345726386215, 47.74148305226579, 46.23610217543511, 43.4709984915379, 45.16527874248396, 48.148476086131836, 44.18421917861199, 45.870104998155476, 45.62770292614003, 47.1476087089859, 46.178360051884404, 48.127981098579504, 44.991916604308045, 45.97591602438985, 46.11294121875354, 48.00010592675069, 44.770445676205874, 48.371492699322914, 48.13557376337761, 43.63161834239754, 44.793699774634106, 46.04403295992554, 43.6151555922135, 45.26271392932891, 44.9429804073315, 42.16872890268465, 47.772663370234966, 44.173787844480415, 44.297593631622256, 44.77658238647828, 45.77296475827481, 45.34781679656292, 41.552773666667946, 43.98985568446497, 46.866935625953516, 44.77430719110363, 44.882306447631464, 45.55742765277611, 47.121089394916666, 47.19538164059842]"
