Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9717714415290358,"[0.9811014641690338, 0.9227588837380479, 0.9925760080503859, 0.9877683808561387, 0.9824866695129133, 0.9840770276160237, 0.9561898255256827, 0.9731251945168768, 0.971111430986387, 0.9785006543742253, 0.9508409981813282, 0.9703276398936299, 0.9772521368114354, 0.963081376618479, 0.9479323453792764, 0.9891002279318825, 0.9585986223431545, 0.9382031190211756, 0.9610422854552302, 0.9824666198715276, 0.9873414158234608, 0.9797979808899117, 0.9720682074602647, 0.9860994557760585, 0.9751184919247624, 0.9774115731575911, 0.9607381105644524, 0.9833298785623131, 0.9679582068895, 0.9807494433657743, 0.9805306099162596, 0.9919236267038283, 0.9889845783949166, 0.9837828460066652, 0.9699930749793331, 0.9575120922678533, 0.9721587013488833, 0.9744459874222821, 0.933881375159357, 0.9527929658697465, 0.9717640634986906, 0.9834330931692999, 0.9859010644867885, 0.9405808229384078, 0.9869222268123808, 0.9807232928800586, 0.9689103652998887, 0.9846695136553519, 0.9675175519339728, 0.9729905484408755]"
,PSNR,47.396871304743236,"[47.60546617103885, 43.39249271412762, 50.78691042207122, 51.146762126144225, 46.0011056738568, 52.0373982370773, 44.326759538550576, 49.71807632524781, 45.92382960864195, 46.933407058884086, 45.757066804529316, 46.78595384363695, 46.59516897098797, 49.668555015248344, 46.54821728451567, 51.66766849712259, 41.53689544632185, 44.6427341426584, 48.36665630631374, 50.782812255553786, 50.502062916095255, 47.108259568280715, 47.67874570998494, 48.783416073551706, 43.545430546096746, 46.16709924150494, 47.784493515205654, 48.905827190746, 45.6983806659887, 45.7479389215781, 49.61283407378552, 51.41741159209629, 49.40757130586992, 47.67590994182651, 45.22358686114308, 45.07121626012909, 44.958618494168824, 48.41473830491242, 45.93869879931171, 46.41550698323562, 44.55341494575439, 48.581235511328515, 53.17250262066078, 44.103183532930814, 50.75015391745084, 48.0763878928508, 47.14100826723765, 47.4039134045858, 44.56833679203612, 45.21174494428513]"
,mSSIM,0.2606414793105818,"[0.4493188899667721, 0.10969699499202816, 0.4935161178211743, 0.3318038002586252, 0.43149861993986144, 0.022475935919624917, 0.3515252869278875, 0.05427915362009819, 0.301514841652306, 0.3319144987816922, 0.08233916024096133, 0.295671925421282, 0.31899595783393137, 0.02985614661590848, 0.08986984191298271, 0.16843397875370072, 0.5314401055290774, 0.11133470094714844, 0.021608273012688944, 0.18999661713112104, 0.23084628494256362, 0.3184021969347004, 0.2956237611828608, 0.3469087101924098, 0.5551896591838443, 0.2451720633604973, 0.03159790120305272, 0.2496079339406957, 0.26107565859203985, 0.31258346648762037, 0.07054527720299693, 0.2288902370394967, 0.52718293094152, 0.3762892612404618, 0.2790244516711926, 0.35690318614409283, 0.3209774392889775, 0.1440646832180377, 0.15228735673668886, 0.22541801314353155, 0.5323201899614128, 0.16330862799633422, 0.0758210243624595, 0.15397546882437582, 0.1873316058647033, 0.24826551273686903, 0.14265395585627702, 0.4482657236438602, 0.3343877164319869, 0.5000628199246578]"
,mPSNR,9.259687911363676,"[9.371278262860953, 8.671331656379603, 11.87022593435416, 11.136539563993377, 10.799203432999786, 8.030411390843899, 8.943660873974824, 9.127431580762671, 8.915136600163741, 9.693351550423632, 8.719668844864824, 9.595412155477153, 10.556819809194005, 9.191272535279616, 9.315283174788053, 9.251435967515372, 9.841769177653898, 8.624513765711685, 8.452324599612078, 10.512867513594985, 9.94491506363957, 8.8832108857642, 9.621484830282387, 8.835927931082054, 9.29192448939862, 7.890673465732543, 8.041140527487059, 10.129890757247203, 9.152081216409236, 7.149813923754853, 8.045435528517782, 10.37573271605366, 9.327626314270738, 8.95536138454315, 8.837950224276677, 9.133290673569492, 8.89430836343659, 8.518591301502884, 9.594883615180093, 12.182676037531264, 8.334920722152702, 7.768085630763556, 9.765332395048116, 8.158399241191853, 8.773255626275231, 9.01527455968734, 8.105332546512212, 11.706396104418992, 8.957849740202583, 8.972691361802953]"
FGT,,,
,SSIM,0.9983276833095617,"[0.9992417570184502, 0.995982653273102, 0.9997909609897485, 0.9996532041576849, 0.9962163864721229, 0.9988128554547906, 0.9962703144533706, 0.9969307668707135, 0.9989217655029811, 0.999108311099674, 0.9979871339280795, 0.9990763876720239, 0.9986587876369, 0.9986971201533773, 0.9981534736755698, 0.9996503917166177, 0.997884805351955, 0.9965187476770446, 0.9985327612603618, 0.9993630306083885, 0.999498119255169, 0.9992668221904385, 0.9985208070915178, 0.9995170671869505, 0.9989577602713959, 0.9983598429191957, 0.9982461901046373, 0.9992613022310649, 0.9984412891106283, 0.9994416265396775, 0.9994900317608394, 0.9997106415273759, 0.99927813228563, 0.9987343475404904, 0.9970147765317114, 0.9951274497157575, 0.9970874853310877, 0.9984503256339003, 0.9957509080787688, 0.9967836215139343, 0.9985972360547705, 0.9993761820686723, 0.9995359605930682, 0.997403698430118, 0.9989127166354613, 0.9989284545642625, 0.998295492052223, 0.9988937385035848, 0.9977483334273464, 0.9963021913554524]"
,PSNR,55.055814590072494,"[57.11729547572429, 50.89772945291099, 63.512851011651826, 60.999307267933034, 49.74448048943217, 56.92741637179466, 50.86016842309885, 52.000513754619234, 54.8678718034624, 55.889342786812065, 53.355153204764996, 57.29880808766406, 53.09167182621076, 55.327950416991385, 53.61504008057871, 61.35910812037161, 52.24053705636411, 50.599179367265364, 54.352422615711404, 58.7489490290388, 59.24760757220717, 56.89685318259971, 54.11835431853387, 59.54087739951403, 55.17071276169616, 52.94617831997115, 53.214431046023584, 56.286255383274266, 53.39356911362757, 59.47701829664072, 59.085476379374995, 61.478056309285314, 56.975834912000394, 54.97800805417243, 51.43926847202101, 49.0706832992724, 51.727548096298285, 54.78286984561839, 50.13566310196639, 51.50359410378826, 55.052922371256265, 58.74916636282463, 59.413493607804895, 52.011094825734894, 53.86473567785481, 54.920835201561886, 54.10903592061834, 56.04001510451123, 53.123173224991106, 51.23160059617994]"
,mSSIM,0.9523817414726853,"[0.9732947032956224, 0.9508041059550812, 0.9823027812746339, 0.9751636599377727, 0.8403079827631783, 0.9086835480007851, 0.9469173510285207, 0.8768682447346453, 0.9707723135782751, 0.9647748436331588, 0.9539068111786765, 0.9741898460136827, 0.9561191099514537, 0.9673794045690624, 0.971887024900568, 0.9754530072515167, 0.9738827739786684, 0.9361936999444107, 0.9658714605676986, 0.9706566869870258, 0.9705528365091638, 0.9703766159902086, 0.9616741391042248, 0.9782464682221468, 0.979635308702695, 0.9311122459196954, 0.9604961560274902, 0.9626216910368084, 0.9587192340738242, 0.9795646045465783, 0.9767042580272484, 0.9703607529747438, 0.9703343850780708, 0.95195591103173, 0.9137487909073354, 0.8986787454502232, 0.9151671598032557, 0.9415538339359634, 0.941321610332351, 0.9435745127100387, 0.9762744462599628, 0.9634285311107557, 0.9708482983722126, 0.9609999230687205, 0.9222465552811461, 0.9531738975423274, 0.941050591266405, 0.9459101389881572, 0.9460963581162684, 0.9272297137000735]"
,mPSNR,43.36784435899952,"[44.49820866176825, 44.41068035177224, 47.44630449156674, 47.10664532093262, 34.11931383807884, 43.01351312427991, 41.45433794654596, 40.11953327608598, 44.44401000724145, 43.89213458251733, 43.49772310415724, 46.56667581377148, 37.63172516955618, 45.79359166774462, 45.00356164755408, 47.208734447988206, 44.06597485546026, 41.00191617779187, 43.530860987988554, 45.978899149092285, 45.41965007063127, 45.620737875509654, 43.64067668648039, 46.78737818545663, 45.090757338357264, 39.115285793045, 42.60653725177727, 44.076206409843614, 42.60830758416766, 47.53560656101535, 46.396573595485684, 46.36492552400522, 42.80551476801969, 42.376488659795804, 39.95010938119828, 38.86869208582827, 41.00270315005548, 43.22932838659525, 40.81846289826017, 42.99161334328672, 44.627004132786965, 45.84637944891928, 45.388720696916295, 44.2866357035384, 38.651790241783026, 41.54410262388237, 42.80625174012905, 42.704950906355386, 43.48417532784842, 40.96230695710857]"
