Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9692461122006273,"[0.9813350125357085, 0.9884236095098681, 0.9589482140547677, 0.9715737761030175, 0.9355335511102418, 0.9824530113903306, 0.984560125639954, 0.9781012110271913, 0.9646615877345015, 0.9723353620269691, 0.9628691578864812, 0.962138181050236, 0.9307418381116582, 0.9655124930201847, 0.9912320519395977, 0.9748761947560816, 0.9788952771455248, 0.9823573674695082, 0.9454596677996913, 0.9826380503885254, 0.976678290691254, 0.9635725806597369, 0.9664069719770629, 0.95622656193602, 0.9759300380059418, 0.9727516358732178, 0.978201262219276, 0.9467653653813698, 0.9723540161576532, 0.9630160785317146, 0.9706922973747615, 0.9444626658268129, 0.9657840014858124, 0.9442138715686106, 0.9721520515131145, 0.9787779276784474, 0.9828771365284559, 0.9366277568419061, 0.9853471182343916, 0.9899505689375442, 0.9472946392753975, 0.9806358592398383, 0.9625186050791381, 0.9466153372364662, 0.9798468633062519, 0.9876066806429167, 0.9793508674295669, 0.9847437557844326, 0.9850888324029352, 0.9711702315112615]"
,PSNR,46.95551819553079,"[46.04762741909602, 51.796045993083474, 46.922071290278105, 45.52196370455285, 45.97467885049306, 48.58065705185073, 48.52566642257547, 46.01723858145405, 48.282913808094804, 45.29897612741926, 46.36844612351189, 48.54927810414438, 41.29750019465581, 46.67284564008956, 54.26997549931567, 44.68602803308726, 48.0609031302773, 50.01051418111241, 44.41627122052445, 47.867466912946185, 46.08621610508514, 43.63031157644518, 44.64950222706556, 45.44962429770407, 48.159986349803894, 45.09941512429223, 47.78260259752245, 43.35323920917755, 49.47349034310222, 44.61120464557244, 45.94857152320748, 45.010093908571704, 46.28992618346214, 44.22636693711863, 47.26800880127068, 47.76365195634816, 48.62945481614901, 44.58266330747426, 52.71092540353311, 50.060813989093575, 44.12003824692544, 47.92440740328141, 49.47282275209485, 40.96013198736802, 50.39289473245864, 49.307754197006446, 47.498797458839334, 52.36848021953497, 46.059891886761875, 43.71755330170742]"
,mSSIM,0.27499693482585175,"[0.4661235310392707, 0.1846822133805598, 0.11903458373009428, 0.45058998499958364, 0.09612365142868959, 0.181528141670371, 0.24974636303987416, 0.4400424516350153, 0.0673900551182783, 0.2802094286683024, 0.21366368751834083, 0.1266918854571906, 0.3793620996819148, 0.2383300763033491, 0.036394857968846756, 0.68454590563031, 0.2240620224728394, 0.20183722362046091, 0.2539362047844905, 0.298077290820968, 0.25285772342498003, 0.48072952308377787, 0.3846740500195407, 0.2123792540319183, 0.29353377441542144, 0.3480613765009452, 0.1625139078442901, 0.2058569015268585, 0.17987277156283454, 0.3912596979886455, 0.3807162942524469, 0.20655497177830595, 0.23657691786975746, 0.26186257890407516, 0.2833581931029005, 0.2884745827843215, 0.22301513263855788, 0.1930731025796516, 0.08034478986468922, 0.5946273670297928, 0.3199915560329236, 0.34608176178392713, 0.037676365524325385, 0.47446100116819934, 0.07766638215011828, 0.40034318036602706, 0.26719554063916784, 0.02915705912071214, 0.5120774431705539, 0.432481881164171]"
,mPSNR,8.9891686430627,"[8.36273621467871, 8.47073948691178, 8.52813521352517, 9.16212202356105, 8.892524310374238, 8.485433850757946, 9.410823502378797, 7.774558274342274, 9.329666644052196, 7.257730674262008, 8.51112258792904, 9.600313759690081, 8.865225091336363, 8.862690511846788, 9.211608310464506, 9.277107834090888, 8.479563925689167, 10.23214502467936, 10.121143308277897, 7.536678739722814, 7.591895097959791, 9.204299611245276, 9.43974363852792, 9.341805262760829, 8.045333630650848, 8.81017383185621, 8.791357689148304, 7.998419087979435, 9.505223235409238, 8.59121127374186, 11.13242004433004, 9.533266499517396, 7.653484074517691, 9.062067578912883, 10.651189336351107, 8.225597200691963, 8.749080267888676, 9.550174616996717, 9.221106950578317, 10.790955632017097, 10.390251493416592, 8.34558327822637, 9.678477730533203, 7.432857747738782, 7.673448612184329, 11.5397664944634, 8.768405214723296, 9.147047022502438, 10.798186790573702, 7.423533919120247]"
FGT,,,
,SSIM,0.999031980768338,"[0.9973765661384904, 0.999625362913941, 0.9985931841306832, 0.9989217222370663, 0.9974936638468792, 0.999467985221065, 0.9995276709757169, 0.9987642827042199, 0.9984618930518613, 0.998843160185149, 0.9990841874619888, 0.9990691374589011, 0.9976351008729712, 0.9991649215979477, 0.9998349441691827, 0.9993251693584494, 0.9993516868456344, 0.9996632398079713, 0.9990180650013669, 0.9996519407389001, 0.9993763319091475, 0.9984167075970145, 0.9987973201735391, 0.9989609723830432, 0.9992694335440818, 0.9990165966193373, 0.9995370758052381, 0.9987605131419203, 0.9994326427611578, 0.9987961736767926, 0.9991015526982029, 0.9984235571619249, 0.9990768163028431, 0.9982842905366668, 0.9992340237547691, 0.9993997143829564, 0.999355200510959, 0.9980343178344492, 0.9996252156418578, 0.9996178737708575, 0.9985411030791941, 0.9995604681128908, 0.9988634193996981, 0.9985711328965864, 0.9996171942455533, 0.9996640376044184, 0.999286198487867, 0.9996396668068467, 0.9995477079144891, 0.9989178949442076]"
,PSNR,57.62525228530812,"[51.49370167522862, 60.675280378336716, 55.48733349682187, 56.4189243792816, 52.628130714445156, 57.82490945104682, 59.524564546904976, 55.1861222104689, 54.461064535145155, 54.677401041534054, 57.6829093224018, 57.46990726357217, 52.47910221570101, 57.68784284428111, 64.16474436621688, 58.394434658103975, 57.01278566545916, 62.363931559939076, 57.01881267374088, 61.89074753935281, 59.30988862801649, 54.71283594434549, 55.90226207977953, 57.24892983803056, 58.822371183038115, 56.843225744216646, 59.781719944857876, 55.34323452982604, 59.6766827464581, 53.060279980692044, 57.738407143105164, 54.91597722031525, 58.0179902824318, 54.32793203844557, 58.036825865275304, 59.60639550724188, 58.897880587882554, 54.001174484520284, 61.35924025530184, 60.8597561694628, 55.38256602596693, 60.861994588315824, 57.11664871925336, 54.46965592235653, 60.96321275081827, 61.95407904277421, 58.63568943145013, 61.97199688535201, 60.92131887458574, 55.97979131330791]"
,mSSIM,0.9735371952030694,"[0.8995464556322672, 0.9674863482518511, 0.9669881392224744, 0.9755913836621972, 0.959625427018533, 0.968769405741637, 0.9719626512865895, 0.9610979055169169, 0.9560676718724446, 0.9654393173551079, 0.9779677719337508, 0.9773313880735417, 0.9739703709970002, 0.9795338483773037, 0.9786552399040331, 0.9910445136780279, 0.9730938288435393, 0.9803622983803607, 0.984372498085054, 0.9836060334939881, 0.974090766016336, 0.9750094247380514, 0.9808650604895799, 0.9770804512810519, 0.9728273046603578, 0.9715479110476936, 0.9771205640031928, 0.9775414612969291, 0.9812326330678224, 0.9787588234680493, 0.9751970190334593, 0.9721672902437385, 0.9732582832816851, 0.9752345177606546, 0.9750022228244638, 0.9772703936207385, 0.9635374405174133, 0.9698252141974146, 0.9736246405595648, 0.9841003983958135, 0.9752329422597658, 0.982214118492114, 0.9691763023476002, 0.9854978403153911, 0.9809399318602791, 0.9821493908421686, 0.9687633265437632, 0.9751660629410246, 0.9834477846968499, 0.9764677420238891]"
,mPSNR,46.265538560800195,"[37.755933121834204, 45.31298778109849, 45.552260068539574, 46.29315774756675, 44.534370551816735, 42.21556463637502, 46.13853941218188, 42.13206053478372, 44.17051362775619, 43.6284646128918, 47.222623671377846, 47.619108893510436, 45.905835944347714, 47.370733715901196, 46.38062759916292, 48.07737852211425, 42.67490625509471, 49.05480420403033, 49.20915211536002, 48.4430739339504, 47.68358762891488, 45.46055417408347, 47.27784703278674, 48.02819177949905, 46.96118257534081, 45.760517713466044, 47.022764984213495, 46.359220189037984, 48.8404657198181, 41.79815469337652, 47.205719957816626, 46.384479212852916, 47.31214538824061, 45.51249855302508, 46.92632321049932, 47.382487300626494, 45.26184240485, 45.36510277778015, 47.17343438047668, 46.88712478572859, 47.37395193939654, 47.73718283486289, 46.81586111384793, 47.06529847238678, 47.893947292622066, 48.196924729025895, 45.868745120299536, 47.3559350182839, 49.004565598588094, 45.668774508568326]"
